NOTICIA;FECHA_ACTUACION;ACTUACION;DESCRIPCION_ACTUACION
NTC_000010;2022-12-31;SOLICITUD DE MEDIDA;Se realizó diligencia de entrevista con la víctima.
NTC_000011;2024-04-17;AUTO FORMULACIÓN;Se realizó diligencia de entrevista con la víctima.
NTC_000011;2024-06-01;SOLICITUD DE MEDIDA;El despacho programó audiencia preparatoria.
NTC_000011;2024-07-02;DILIGENCIA DE INSPECCIÓN;Se notificó a las partes sobre el nuevo fiscal de conocimiento.
NTC_000011;2024-09-23;AUTO FORMULACIÓN;El fiscal solicitó la imposición de medida de aseguramiento.
NTC_000011;2024-09-04;DILIGENCIA DE INSPECCIÓN;El despacho programó audiencia preparatoria.
NTC_000012;2021-10-15;TRASLADO A FISCAL;El despacho programó audiencia preparatoria.
NTC_000012;2021-11-19;AUDIENCIA INICIAL;Se llevó a cabo audiencia de legalización de captura y formulación de imputación.
NTC_000012;2021-11-20;SOLICITUD DE MEDIDA;El despacho programó audiencia preparatoria.
NTC_000012;2022-02-09;TRASLADO A FISCAL;Se practicó inspección al lugar de los hechos.
NTC_000013;2023-07-03;TRASLADO A FISCAL;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000013;2023-08-19;TRASLADO A FISCAL;El despacho programó audiencia preparatoria.
NTC_000013;2023-09-23;DILIGENCIA DE INSPECCIÓN;Se solicitó prueba pericial de medicina legal.
NTC_000013;2023-08-05;AUDIENCIA INICIAL;Se expidió auto de apertura a juicio oral.
NTC_000014;2022-10-14;AUDIENCIA INICIAL;Se notificó a las partes sobre el nuevo fiscal de conocimiento.
NTC_000014;2022-11-23;TRASLADO A FISCAL;Se notificó a las partes sobre el nuevo fiscal de conocimiento.
NTC_000014;2022-12-01;TRASLADO A FISCAL;Se solicitó prueba pericial de medicina legal.
NTC_000014;2022-12-13;TRASLADO A FISCAL;Se expidió auto de apertura a juicio oral.
NTC_000015;2024-01-03;AUDIENCIA INICIAL;Se radicó escrito de acusación ante el juez competente.
NTC_000015;2024-01-14;SOLICITUD DE MEDIDA;Se practicó inspección al lugar de los hechos.
NTC_000015;2024-03-15;SOLICITUD DE MEDIDA;El despacho programó audiencia preparatoria.
NTC_000016;2022-04-01;AUTO FORMULACIÓN;El despacho programó audiencia preparatoria.
NTC_000016;2022-04-24;SOLICITUD DE MEDIDA;El despacho programó audiencia preparatoria.
NTC_000016;2022-06-08;AUTO FORMULACIÓN;Se solicitó prueba pericial de medicina legal.
NTC_000016;2022-08-11;DILIGENCIA DE INSPECCIÓN;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000016;2022-10-14;AUTO FORMULACIÓN;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000017;2022-11-09;DILIGENCIA DE INSPECCIÓN;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000017;2023-01-03;SOLICITUD DE MEDIDA;Se realizó diligencia de entrevista con la víctima.
NTC_000017;2023-01-28;DILIGENCIA DE INSPECCIÓN;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000017;2022-12-30;TRASLADO A FISCAL;Se expidió auto de apertura a juicio oral.
NTC_000018;2021-11-28;AUTO FORMULACIÓN;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000018;2021-12-10;AUDIENCIA INICIAL;Se realizó diligencia de entrevista con la víctima.
NTC_000018;2022-02-12;SOLICITUD DE MEDIDA;Se radicó escrito de acusación ante el juez competente.
NTC_000018;2022-02-02;DILIGENCIA DE INSPECCIÓN;El despacho programó audiencia preparatoria.
NTC_000018;2022-07-02;AUDIENCIA INICIAL;Se notificó a las partes sobre el nuevo fiscal de conocimiento.
NTC_000019;2021-88-77;TRASLADO A FISCAL;Se radicó escrito de acusación ante el juez competente.
NTC_000019;2022-06-25;AUDIENCIA INICIAL;Se expidió auto de apertura a juicio oral.
NTC_000019;2022-07-07;AUDIENCIA INICIAL;Se practicó inspección al lugar de los hechos.
NTC_000020;2024-05-28;SOLICITUD DE MEDIDA;Se solicitó prueba pericial de medicina legal.
NTC_000020;2024-07-18;DILIGENCIA DE INSPECCIÓN;Se realizó diligencia de entrevista con la víctima.
NTC_000020;2024-07-23;AUDIENCIA INICIAL;Se notificó a las partes sobre el nuevo fiscal de conocimiento.
NTC_000021;2023-10-09;AUTO FORMULACIÓN;Se llevó a cabo audiencia de legalización de captura y formulación de imputación.
NTC_000021;2023-11-13;AUTO FORMULACIÓN;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000022;2021-12-18;TRASLADO A FISCAL;El fiscal solicitó la imposición de medida de aseguramiento.
NTC_000022;2022-01-18;TRASLADO A FISCAL;El despacho programó audiencia preparatoria.
NTC_000023;2023-01-14;AUTO FORMULACIÓN;El fiscal solicitó la imposición de medida de aseguramiento.
NTC_000023;2023-02-14;SOLICITUD DE MEDIDA;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000023;2023-05-04;DILIGENCIA DE INSPECCIÓN;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000024;2022-10-30;SOLICITUD DE MEDIDA;Se expidió auto de apertura a juicio oral.
NTC_000024;2022-12-11;SOLICITUD DE MEDIDA;El fiscal solicitó la imposición de medida de aseguramiento.
NTC_000024;2022-12-11;SOLICITUD DE MEDIDA;Se realizó diligencia de entrevista con la víctima.
NTC_000025;2021-10-18;AUTO FORMULACIÓN;Se solicitó prueba pericial de medicina legal.
NTC_000025;2021-12-15;DILIGENCIA DE INSPECCIÓN;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000025;2022-01-20;AUDIENCIA INICIAL;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000026;2022-08-03;AUDIENCIA INICIAL;Se solicitó prueba pericial de medicina legal.
NTC_000026;2022-09-01;TRASLADO A FISCAL;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000026;2022-11-19;DILIGENCIA DE INSPECCIÓN;Se realizó diligencia de entrevista con la víctima.
NTC_000026;2022-12-28;AUTO FORMULACIÓN;Se solicitó prueba pericial de medicina legal.
NTC_000027;2023-12-29;DILIGENCIA DE INSPECCIÓN;Se expidió auto de apertura a juicio oral.
NTC_000027;2024-02-21;SOLICITUD DE MEDIDA;El despacho programó audiencia preparatoria.
NTC_000027;2024-04-11;AUTO FORMULACIÓN;Se notificó a las partes sobre el nuevo fiscal de conocimiento.
NTC_000027;2021-88-77;SOLICITUD DE MEDIDA;El despacho programó audiencia preparatoria.
NTC_000027;2024-08-05;TRASLADO A FISCAL;El fiscal solicitó la imposición de medida de aseguramiento.
NTC_000028;2024-03-31;AUTO FORMULACIÓN;Se realizó diligencia de entrevista con la víctima.
NTC_000028;2024-05-13;AUTO FORMULACIÓN;Se notificó a las partes sobre el nuevo fiscal de conocimiento.
NTC_000028;2021-88-77;TRASLADO A FISCAL;Se solicitó prueba pericial de medicina legal.
NTC_000029;2022-02-25;SOLICITUD DE MEDIDA;Se solicitó prueba pericial de medicina legal.
NTC_000029;2021-88-77;SOLICITUD DE MEDIDA;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000030;2022-05-24;AUDIENCIA INICIAL;Se radicó escrito de acusación ante el juez competente.
NTC_000030;2021-88-77;SOLICITUD DE MEDIDA;Se realizó diligencia de entrevista con la víctima.
NTC_000031;2022-06-16;AUDIENCIA INICIAL;Se solicitó prueba pericial de medicina legal.
NTC_000031;2022-06-28;AUTO FORMULACIÓN;Se practicó inspección al lugar de los hechos.
NTC_000032;2022-04-10;SOLICITUD DE MEDIDA;Se solicitó prueba pericial de medicina legal.
NTC_000032;2022-05-14;TRASLADO A FISCAL;Se practicó inspección al lugar de los hechos.
NTC_000032;2022-07-21;AUDIENCIA INICIAL;Se practicó inspección al lugar de los hechos.
NTC_000032;2022-08-20;AUTO FORMULACIÓN;Se radicó escrito de acusación ante el juez competente.
NTC_000032;2022-05-20;DILIGENCIA DE INSPECCIÓN;Se solicitó prueba pericial de medicina legal.
NTC_000033;2022-07-14;AUTO FORMULACIÓN;Se radicó escrito de acusación ante el juez competente.
NTC_000033;2022-08-22;DILIGENCIA DE INSPECCIÓN;Se radicó escrito de acusación ante el juez competente.
NTC_000033;2022-11-03;AUDIENCIA INICIAL;Se expidió auto de apertura a juicio oral.
NTC_000033;2022-12-08;AUDIENCIA INICIAL;Se radicó escrito de acusación ante el juez competente.
NTC_000033;2021-88-77;TRASLADO A FISCAL;Se llevó a cabo audiencia de legalización de captura y formulación de imputación.
NTC_000034;2023-03-03;SOLICITUD DE MEDIDA;Se solicitó prueba pericial de medicina legal.
NTC_000034;2023-03-27;AUDIENCIA INICIAL;Se practicó inspección al lugar de los hechos.
NTC_000035;2023-01-04;TRASLADO A FISCAL;Se realizó diligencia de entrevista con la víctima.
NTC_000035;2023-02-19;DILIGENCIA DE INSPECCIÓN;Se radicó escrito de acusación ante el juez competente.
NTC_000035;2023-03-03;TRASLADO A FISCAL;Se radicó escrito de acusación ante el juez competente.
NTC_000035;2023-04-22;AUDIENCIA INICIAL;El despacho programó audiencia preparatoria.
NTC_000036;2021-10-05;TRASLADO A FISCAL;Se solicitó prueba pericial de medicina legal.
NTC_000036;2021-10-18;SOLICITUD DE MEDIDA;El despacho programó audiencia preparatoria.
NTC_000036;2021-12-04;SOLICITUD DE MEDIDA;Se practicó inspección al lugar de los hechos.
NTC_000037;2023-07-31;SOLICITUD DE MEDIDA;Se radicó escrito de acusación ante el juez competente.
NTC_000037;2023-08-24;AUTO FORMULACIÓN;Se solicitó prueba pericial de medicina legal.
NTC_000037;2023-08-26;SOLICITUD DE MEDIDA;El despacho programó audiencia preparatoria.
NTC_000037;2023-12-07;AUTO FORMULACIÓN;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000037;2023-10-31;AUDIENCIA INICIAL;Se solicitó prueba pericial de medicina legal.
NTC_000038;2022-01-17;AUTO FORMULACIÓN;Se llevó a cabo audiencia de legalización de captura y formulación de imputación.
NTC_000038;2022-02-13;TRASLADO A FISCAL;Se notificó a las partes sobre el nuevo fiscal de conocimiento.
NTC_000038;2022-02-10;AUTO FORMULACIÓN;Se notificó a las partes sobre el nuevo fiscal de conocimiento.
NTC_000038;2022-07-04;AUTO FORMULACIÓN;Se solicitó prueba pericial de medicina legal.
NTC_000039;2023-11-02;AUDIENCIA INICIAL;Se radicó escrito de acusación ante el juez competente.
NTC_000039;2023-11-24;AUDIENCIA INICIAL;Se solicitó prueba pericial de medicina legal.
NTC_000039;2023-12-22;AUTO FORMULACIÓN;Se expidió auto de apertura a juicio oral.
NTC_000039;2024-01-16;DILIGENCIA DE INSPECCIÓN;Se expidió auto de apertura a juicio oral.
NTC_000040;2023-02-11;TRASLADO A FISCAL;Se solicitó prueba pericial de medicina legal.
NTC_000040;2021-88-77;SOLICITUD DE MEDIDA;Se realizó diligencia de entrevista con la víctima.
NTC_000040;2023-03-29;SOLICITUD DE MEDIDA;Se llevó a cabo audiencia de legalización de captura y formulación de imputación.
NTC_000040;2023-06-29;AUTO FORMULACIÓN;Se llevó a cabo audiencia de legalización de captura y formulación de imputación.
NTC_000041;2023-09-09;DILIGENCIA DE INSPECCIÓN;Se radicó escrito de acusación ante el juez competente.
NTC_000041;2023-10-13;AUTO FORMULACIÓN;Se solicitó prueba pericial de medicina legal.
NTC_000041;2023-12-08;DILIGENCIA DE INSPECCIÓN;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000041;2024-03-01;SOLICITUD DE MEDIDA;Se solicitó prueba pericial de medicina legal.
NTC_000041;2023-11-28;DILIGENCIA DE INSPECCIÓN;Se practicó inspección al lugar de los hechos.
NTC_000042;2024-01-11;TRASLADO A FISCAL;Se llevó a cabo audiencia de legalización de captura y formulación de imputación.
NTC_000042;2021-88-77;AUDIENCIA INICIAL;Se llevó a cabo audiencia de legalización de captura y formulación de imputación.
NTC_000042;2021-88-77;AUTO FORMULACIÓN;Se radicó escrito de acusación ante el juez competente.
NTC_000042;2024-02-22;AUDIENCIA INICIAL;Se radicó escrito de acusación ante el juez competente.
NTC_000042;2024-06-27;AUDIENCIA INICIAL;Se notificó a las partes sobre el nuevo fiscal de conocimiento.
NTC_000043;2022-08-19;AUDIENCIA INICIAL;El despacho programó audiencia preparatoria.
NTC_000043;2022-10-03;AUDIENCIA INICIAL;El despacho programó audiencia preparatoria.
NTC_000043;2022-12-09;DILIGENCIA DE INSPECCIÓN;Se llevó a cabo audiencia de legalización de captura y formulación de imputación.
NTC_000043;2022-12-23;SOLICITUD DE MEDIDA;Se practicó inspección al lugar de los hechos.
NTC_000043;2022-10-22;TRASLADO A FISCAL;Se practicó inspección al lugar de los hechos.
NTC_000044;2023-09-30;DILIGENCIA DE INSPECCIÓN;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000044;2023-11-29;DILIGENCIA DE INSPECCIÓN;Se expidió auto de apertura a juicio oral.
NTC_000044;2023-12-17;AUTO FORMULACIÓN;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000045;2022-07-03;AUDIENCIA INICIAL;El fiscal solicitó la imposición de medida de aseguramiento.
NTC_000045;2022-08-07;TRASLADO A FISCAL;Se solicitó prueba pericial de medicina legal.
NTC_000046;2024-04-06;SOLICITUD DE MEDIDA;Se expidió auto de apertura a juicio oral.
NTC_000046;2024-05-27;TRASLADO A FISCAL;El fiscal solicitó la imposición de medida de aseguramiento.
NTC_000047;2021-11-29;TRASLADO A FISCAL;Se solicitó prueba pericial de medicina legal.
NTC_000047;2021-88-77;AUDIENCIA INICIAL;El despacho ordenó traslado del expediente para continuidad del proceso.
NTC_000048;2021-11-25;DILIGENCIA DE INSPECCIÓN;Se llevó a cabo audiencia de legalización de captura y formulación de imputación.
NTC_000048;2021-12-18;SOLICITUD DE MEDIDA;El fiscal solicitó la imposición de medida de aseguramiento.
NTC_000049;2023-08-01;SOLICITUD DE MEDIDA;El despacho programó audiencia preparatoria.
NTC_000049;2023-09-01;AUTO FORMULACIÓN;El fiscal solicitó la imposición de medida de aseguramiento.
NTC_000049;2023-10-24;DILIGENCIA DE INSPECCIÓN;Se llevó a cabo audiencia de legalización de captura y formulación de imputación.
NTC_000050;2024-02-23;DILIGENCIA DE INSPECCIÓN;Se notificó a las partes sobre el nuevo fiscal de conocimiento.
NTC_000050;2024-04-22;TRASLADO A FISCAL;Se expidió auto de apertura a juicio oral.
NTC_000050;2024-06-20;DILIGENCIA DE INSPECCIÓN;Se solicitó prueba pericial de medicina legal.
NTC_000050;2024-06-25;TRASLADO A FISCAL;Se expidió auto de apertura a juicio oral.
NTC_000050;2024-07-20;TRASLADO A FISCAL;Se expidió auto de apertura a juicio oral.
